per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
61.0,36.1,2.9,"Traill County, ND",05/10/2023,56.5,0,9,72320,94.0,1.1,1.5,0.7,40.4,30.81,69.19,0
69.5,27.9,2.6,"Walsh County, ND",05/10/2023,60.8,0,11,61472,94.0,0.8,2.4,1.1,43.3,46.87,53.13,0
70.7,25.8,3.5,"Ward County, ND",05/10/2023,53.5,0,9,69957,87.1,4.7,2.8,1.9,33.4,36.22,63.78,0
79.7,18.6,1.6,"Wells County, ND",05/10/2023,44.9,0,12,63665,96.7,0.5,0.9,0.4,51.0,46.76,53.24,0
81.9,15.1,3.0,"Williams County, ND",05/10/2023,31.6,0,8,77051,85.0,5.1,4.4,1.6,32.3,38.36,61.64,0
81.3,17.8,1.0,"Adams County, OH",05/10/2023,36.5,0,18,47001,96.9,0.6,0.6,0.4,41.5,58.55,41.45,0
69.0,29.5,1.5,"Allen County, OH",05/10/2023,45.5,1,15,52518,83.0,12.2,0.3,1.0,39.3,49.17,50.83,0
73.5,24.8,1.7,"Ashland County, OH",05/10/2023,45.0,0,10,59117,96.2,1.0,0.3,0.9,41.2,52.29,47.71,0
60.9,37.4,1.7,"Ashtabula County, OH",05/10/2023,55.0,0,15,48916,92.3,4.1,0.4,0.6,42.4,56.99,43.01,0
41.7,56.7,1.6,"Athens County, OH",05/10/2023,52.2,0,20,49023,91.4,2.8,0.4,2.9,34.4,40.36,59.64,0
80.7,18.0,1.3,"Auglaize County, OH",05/10/2023,40.2,0,7,64942,96.9,0.8,0.3,0.7,40.9,48.61,51.39,0
71.2,27.6,1.2,"Belmont County, OH",05/10/2023,50.5,1,15,50602,92.7,4.6,0.2,0.6,43.9,54.67,45.33,0
78.1,20.8,1.1,"Brown County, OH",05/10/2023,42.6,1,16,58990,96.8,1.0,0.3,0.4,42.2,58.9,41.1,0
61.3,37.3,1.5,"Butler County, OH",05/10/2023,59.1,1,11,72859,81.8,10.2,0.3,4.9,37.7,41.09,58.91,0
